City_ID,City,Country,Max Temp,City Description,Lat,Lng,Hotel Name
0,Kapaa,US,66.18,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
1,Punta Arenas,CL,66.31,broken clouds,-53.15,-70.9167,Hotel Hain
3,Camacha,PT,66.52,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
5,Lubango,AO,69.13,overcast clouds,-14.9172,13.4925,Hotel Serra da Chela
7,Busselton,AU,68.04,clear sky,-33.65,115.3333,Observatory Guest House
12,Airai,TL,60.57,broken clouds,-8.9266,125.4092,
14,Ushuaia,AR,60.46,scattered clouds,-54.8,-68.3,Albatross Hotel
15,Rikitea,PF,78.62,broken clouds,-23.1203,-134.9692,People ThankYou
16,New Norfolk,AU,59.67,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
20,Okakarara,,71.35,light rain,-20.5833,17.4333,"Okahitua, Omaboro City"
21,Hirara,JP,61.12,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
23,Vaini,TO,75.36,light rain,-21.2,-175.2,Keleti Beach Resort
30,Bengkulu,ID,74.48,very heavy rain,-3.8004,102.2655,Grage Hotel Bengkulu
32,Soller,ES,58.86,overcast clouds,39.7662,2.7152,Hotel Marina & Wellness Spa
33,Ambon,ID,78.94,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
37,Diffa,NE,72.75,clear sky,13.3154,12.6113,ProDAF/Diffa
38,Nedjo,ET,64.11,broken clouds,9.5046,35.5019,Yerosan Hotel
39,Alofi,NU,75.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
40,Hilo,US,69.24,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
51,Broken Hill,AU,69.51,clear sky,-31.95,141.4333,Royal Exchange Hotel
52,Salalah,OM,77.09,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
56,Bredasdorp,ZA,74.28,scattered clouds,-34.5322,20.0403,Bredasdorp Country Manor
57,Bluff,NZ,50.11,scattered clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
61,Tura,IN,51.33,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
62,Castro,BR,74.03,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
65,Jalu,LY,59.14,clear sky,29.0331,21.5482,صاحبة الفخامة
70,Victoria,HK,61.25,overcast clouds,22.2855,114.1577,Mini Hotel Central
71,Port Alfred,ZA,70.27,overcast clouds,-33.5906,26.891,The Halyards Hotel
73,Vanimo,PG,78.53,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
74,Lata,PT,62.35,clear sky,40.1629,-8.3327,Casa Maquia
75,Rocha,UY,73.31,overcast clouds,-34.4833,-54.3333,Hotel Arrarte
76,Atuona,PF,78.69,few clouds,-9.8,-139.0333,Villa Enata
77,Ribeira Grande,PT,63.0,broken clouds,38.5167,-28.7,Quinta da Meia Eira
80,Waipawa,NZ,55.45,light rain,-41.4122,175.5153,Tora Coastal Walk
82,Banda Aceh,ID,79.41,light rain,5.5577,95.3222,Sulthan Hotel International
84,Padang,ID,74.57,overcast clouds,-0.9492,100.3543,Mercure Padang
88,San Luis,AR,65.28,overcast clouds,-33.295,-66.3356,Huarpes Hotel
89,Porbandar,IN,68.41,clear sky,21.6422,69.6093,Lords Inn Porbandar
93,Ranong,TH,75.63,scattered clouds,9.9658,98.6348,Tinidee Hotel@Ranong
94,Hobart,AU,60.03,overcast clouds,-42.8794,147.3294,Mantra on Collins Hobart
96,Makakilo City,US,66.61,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
104,Mar Del Plata,AR,67.08,moderate rain,-38.0023,-57.5575,Gran Hotel Mar del Plata
105,East London,ZA,67.14,mist,-33.0153,27.9116,Tu Casa
108,Sur,OM,73.63,clear sky,22.5667,59.5289,Sur Plaza Hotel
109,Vila Franca Do Campo,PT,63.01,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
113,Luderitz,,70.74,clear sky,-26.6481,15.1594,LÜDERITZ NEST HOTEL
114,Mizan Teferi,ET,66.36,light rain,6.9833,35.5833,Hotel Salayish - ሳላይሽ ሆቴል
118,Coihaique,CL,69.75,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
119,Poncitlan,MX,65.7,clear sky,20.3667,-102.9167,Hotel Plaza Poncitlan
120,Alyangula,AU,78.67,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
121,Cockburn Town,TC,76.37,clear sky,21.4612,-71.1419,Osprey Beach Hotel
125,Marzuq,YE,69.15,few clouds,14.4,46.4667,
127,Soe,ID,66.74,overcast clouds,-9.8607,124.284,Dena Hotel
131,San Pedro,PH,79.83,broken clouds,14.35,121.0167,Villa Veronica Resort Private Pool
132,Celendin,PE,66.72,light rain,-6.8703,-78.1517,Villa Madrid
134,Cabo San Lucas,MX,69.51,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
137,Olinala,MX,69.31,scattered clouds,17.8333,-98.85,
141,Antofagasta,CL,71.22,few clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
144,Avarua,CK,77.05,scattered clouds,-21.2078,-159.775,Paradise Inn
145,Codrington,AU,57.27,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
147,Tadine,NC,79.07,moderate rain,-21.55,167.8833,
153,Namibe,AO,76.08,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
157,Mogadishu,SO,77.59,broken clouds,2.0371,45.3438,Hotel Juba
158,Orbetello,IT,57.22,overcast clouds,42.4408,11.2196,Argentario Golf Resort & Spa
159,Lydenburg,ZA,62.28,scattered clouds,-25.0978,30.4597,The Palms Boutique Hotel
160,Lashio,MM,53.65,clear sky,22.9333,97.75,Hotel CF Lashio - Burmese Only
161,Zumpahuacan,MX,61.84,clear sky,18.9,-99.55,El Carmen
162,Ancud,CL,71.22,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
163,Dubbo,AU,57.33,broken clouds,-32.25,148.6167,Quality Inn Dubbo International
164,Manhuacu,BR,76.12,overcast clouds,-20.2581,-42.0336,Real Contabilidade e Real Imóveis
168,Gat,IL,55.08,broken clouds,31.61,34.7642,OlusHome
171,Gladstone,AU,73.33,overcast clouds,-23.85,151.25,Highpoint International Hotel
175,Mount Gambier,AU,58.91,overcast clouds,-37.8333,140.7667,The Commodore
178,Mulchen,CL,75.06,clear sky,-37.7167,-72.2333,Hotel Los Maitenes de Villalón
179,Ahipara,NZ,70.86,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
181,Rawson,AR,62.73,clear sky,-43.3002,-65.1023,Hosteria Sampedro
182,Yulara,AU,67.84,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
183,Ponta Do Sol,PT,73.13,clear sky,32.6667,-17.1,Hotel do Campo
186,Poso,ID,76.78,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
187,Bose,IT,53.19,clear sky,45.4612,8.0137,Locanda Borgo Antico
188,Barcelona,ES,60.3,scattered clouds,41.3888,2.159,Axel Hotel Barcelona
194,Plettenberg Bay,ZA,71.76,clear sky,-34.0527,23.3716,Thanda Vista B&B
196,Ukiah,US,57.97,overcast clouds,39.1502,-123.2078,Hampton Inn Ukiah
200,Kinablangan,PH,77.27,broken clouds,7.6947,126.5503,Morales Eatery and Lodging House
201,Mackay,AU,74.68,broken clouds,-21.15,149.2,International Lodge Motel
203,Coquimbo,CL,67.73,few clouds,-29.9533,-71.3436,Hostel Del Puerto
209,Korem,ET,53.96,broken clouds,12.5058,39.5228,Lakomeliza Hotel
214,Rehoboth,,72.82,light rain,-23.3167,17.0833,Noble Luminous Accommodation
215,Abha,SA,60.62,few clouds,18.2164,42.5053,Abha Hotel
216,General Pico,AR,75.0,broken clouds,-35.6566,-63.7568,Euskadi Hotel
218,Kaeo,NZ,72.32,overcast clouds,-35.1,173.7833,Bushido Lodge
219,Keti Bandar,PK,71.44,clear sky,24.1447,67.4497,Haji laloo memon house
220,Henties Bay,,70.86,clear sky,-22.116,14.2845,Fishermans Guest House
222,Lebu,CL,64.42,clear sky,-37.6167,-73.65,Hostal Las Lilas
224,Isangel,VU,79.29,light rain,-19.55,169.2667,Tanna Lodge
225,Waingapu,ID,78.91,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
226,Bayji,IQ,53.62,broken clouds,34.9311,43.487,مروان /عدنان
227,Mauganj,IN,53.69,clear sky,24.6833,81.8833,Hotel Shagun Palace & Marriage Garden
228,Talcahuano,CL,69.48,clear sky,-36.7167,-73.1167,departamento comodo
229,San Cristobal,VE,68.18,broken clouds,7.7669,-72.225,Posada Villaven C.A.
236,Meulaboh,ID,75.97,overcast clouds,4.1363,96.1285,Kost Pria
237,Requena,ES,51.13,overcast clouds,39.4883,-1.1004,Hotel Avenida
241,Port Macquarie,AU,62.56,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
242,Aguimes,ES,68.67,clear sky,27.9054,-15.4461,Hotel Villa de Aguimes
251,Okato,NZ,68.92,moderate rain,-39.2,173.8833,Goodin Country Garden
253,Singleton,AU,70.5,scattered clouds,-32.5667,151.1833,Quest Singleton
255,Richards Bay,ZA,72.82,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
257,Kawalu,ID,74.14,light rain,-7.3817,108.2082,KOSAN UNGU UNSIK
259,Yeppoon,AU,73.18,few clouds,-23.1333,150.7333,Villa Mar Colina
260,Tautira,PF,75.22,scattered clouds,-17.7333,-149.15,Pension Oaoa
262,Itoman,JP,59.02,overcast clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
263,Lakes Entrance,AU,54.16,few clouds,-37.8811,147.981,The Esplanade Resort & Spa
