City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,City Description
0,Kapaa,US,22.0752,-159.319,66.18,78,20,4.61,few clouds
1,Punta Arenas,CL,-53.15,-70.9167,66.31,52,75,35.68,broken clouds
2,Ust-Tsilma,RU,65.441,52.1498,-9.33,100,46,3.69,scattered clouds
3,Camacha,PT,33.0833,-16.3333,66.52,72,20,20.71,few clouds
4,Maceio,BR,-9.6658,-35.7353,90.84,40,40,13.8,scattered clouds
5,Lubango,AO,-14.9172,13.4925,69.13,39,96,10.8,overcast clouds
6,Leh,IN,34.1667,77.5833,-9.04,74,21,3.44,few clouds
7,Busselton,AU,-33.65,115.3333,68.04,70,0,2.57,clear sky
8,Muzhi,RU,65.3667,64.6667,-12.24,99,19,3.06,few clouds
9,Saint-Philippe,RE,-21.3585,55.7679,83.79,85,100,20.85,light rain
10,Butaritari,KI,3.0707,172.7902,82.38,69,14,18.14,few clouds
11,Point Fortin,TT,10.1833,-61.6833,87.15,70,10,1.77,clear sky
12,Airai,TL,-8.9266,125.4092,60.57,92,82,2.06,broken clouds
13,Kaitangata,NZ,-46.2817,169.8464,44.42,93,33,5.46,scattered clouds
14,Ushuaia,AR,-54.8,-68.3,60.46,41,40,8.05,scattered clouds
15,Rikitea,PF,-23.1203,-134.9692,78.62,73,53,12.82,broken clouds
16,New Norfolk,AU,-42.7826,147.0587,59.67,62,100,0.83,overcast clouds
17,Ayorou,NE,14.7308,0.9174,83.82,7,0,11.68,clear sky
18,Bathsheba,BB,13.2167,-59.5167,83.01,57,20,18.41,few clouds
19,Tabriz,IR,38.08,46.2919,27.86,86,100,2.3,overcast clouds
20,Okakarara,NA,-20.5833,17.4333,71.35,73,87,7.2,light rain
21,Hirara,JP,24.8,125.2833,61.12,69,100,21.0,overcast clouds
22,Kodiak,US,57.79,-152.4072,35.11,80,0,3.44,clear sky
23,Vaini,TO,-21.2,-175.2,75.36,100,100,6.91,light rain
24,Finschhafen,PG,-6.6024,147.8681,80.24,84,66,11.45,broken clouds
25,Meadow Lake,US,34.8014,-106.5436,34.14,49,0,4.18,clear sky
26,Shingu,JP,33.7333,135.9833,38.91,66,16,11.21,few clouds
27,Markova,UA,48.6758,24.4138,35.19,85,94,7.56,overcast clouds
28,Severo-Kurilsk,RU,50.6789,156.125,28.13,90,100,9.71,light snow
